Algorithm: Greedy Vertex Coloring
Vertex colors:
0 1
1 0
2 1
3 2
4 1
5 0
6 0
7 1
8 0
9 1
10 0
11 0
12 2
13 1
14 2
15 1
16 0
17 1
18 1
19 1
20 0
21 2
22 2
23 1
24 0
25 1
26 3
27 3
28 2
29 2
30 2
31 2
32 1
33 0
34 2
35 0
36 2
37 0
38 1
39 0
40 3
41 0
42 0
43 2
44 0
45 1
46 3
47 2
48 0
49 0
50 1
51 1
52 0
53 2
54 0
55 1
56 2
57 2
58 2
59 0
60 2
61 2
62 3
63 0
64 3
65 1
66 0
67 1
68 0
69 1
70 0
71 1
72 1
73 2
74 2
75 3
76 0
77 3
78 0
79 1
80 2
81 0
82 1
83 1
84 2
85 0
86 0
87 1
88 0
89 1
90 1
91 2
92 2
93 1
94 1
95 1
96 1
97 1
98 0
99 1
Colors used: 4
Execution time: 0.0323 ms
