Algorithm: Prim's MST

MST edges:
0 1 36
1 971 1
1 2 7
971 972 13
972 324 12
972 973 16
973 974 10
971 445 27
445 311 27
311 310 2
311 312 7
311 660 27
660 659 29
659 329 23
312 313 31
313 790 13
790 486 13
313 314 17
1 618 36
618 617 29
618 619 34
619 620 7
619 489 35
489 488 25
488 357 18
488 487 24
489 596 26
596 595 6
596 597 18
324 323 43
323 911 32
911 910 10
910 909 4
911 912 11
909 908 21
912 913 25
913 964 6
964 963 9
911 17 37
908 907 40
619 330 43
330 945 23
945 946 7
946 725 15
725 726 2
726 633 6
633 632 4
632 631 6
631 842 15
842 843 8
330 740 30
945 944 31
944 943 11
843 844 38
844 371 12
371 372 12
844 461 16
461 460 6
844 845 29
371 370 34
461 462 36
462 998 3
998 997 10
997 996 11
998 999 24
999 711 22
711 710 31
790 789 43
789 788 43
788 647 19
912 897 43
617 916 43
916 917 17
917 918 4
918 919 12
916 915 35
919 920 35
920 88 11
920 921 13
921 922 7
88 87 24
87 390 5
390 389 23
920 728 31
728 729 26
728 104 39
104 103 3
104 491 7
103 274 27
274 273 6
274 275 8
275 276 32
491 582 33
582 583 19
103 102 36
102 734 3
734 735 5
734 733 10
734 425 15
425 424 14
733 732 21
732 702 7
702 555 19
555 443 32
443 615 8
615 614 9
614 613 27
614 547 29
443 444 32
615 756 33
756 665 15
665 664 9
756 68 17
68 67 25
67 66 10
66 65 5
65 64 17
64 30 12
30 31 9
64 243 17
30 29 24
29 670 13
29 246 20
665 666 25
66 766 27
766 765 7
666 667 33
243 244 34
244 245 2
102 479 35
65 890 35
766 953 35
953 335 11
245 222 37
244 348 38
348 226 10
348 347 32
347 523 25
523 302 15
523 524 23
523 522 26
347 180 32
347 346 37
346 345 22
68 623 38
273 808 38
104 105 41
665 237 41
390 391 41
391 392 17
392 393 17
392 449 36
67 190 42
226 225 42
237 236 42
236 235 3
522 521 42
521 520 35
520 519 38
519 518 22
519 801 25
801 802 7
518 253 26
253 252 27
519 933 35
253 482 41
482 876 8
702 947 42
87 86 43
86 85 34
102 101 43
101 100 2
100 746 12
746 745 3
746 325 6
325 326 1
326 327 3
327 328 35
100 99 42
518 354 43
354 353 19
918 525 43
876 875 43
947 948 43
647 648 44
648 692 26
692 693 16
693 110 33
