Algorithm: Prim's MST
110 111 5
648 649 36
649 650 2
650 629 23
629 630 20
692 691 42
907 906 44
906 905 30
906 722 42
722 723 25
723 724 21
723 394 29
394 395 23
395 593 20
394 123 24
593 968 24
123 690 26
690 496 17
395 396 27
396 397 32
397 969 14
969 382 33
722 874 36
969 970 40
29 28 45
28 27 7
522 118 46
243 242 46
802 484 46
484 485 14
484 483 30
103 490 46
915 914 46
914 979 8
595 983 46
983 982 14
982 981 6
1 176 47
948 603 47
603 602 26
603 604 27
845 846 47
846 847 36
847 121 7
670 669 48
669 742 37
890 889 48
943 942 48
942 95 30
942 941 35
95 96 37
96 97 13
96 388 22
388 387 36
387 871 25
871 872 28
95 94 43
94 93 19
93 927 6
927 531 1
531 532 38
532 759 18
759 758 17
759 760 36
760 761 10
532 533 39
927 928 42
928 929 7
929 268 9
268 269 39
268 267 41
758 757 45
757 407 17
407 408 4
408 409 9
409 410 7
407 529 29
407 406 30
406 331 3
331 332 6
406 949 25
949 950 32
529 528 35
528 527 21
527 526 31
529 530 37
950 951 43
951 336 45
336 337 35
337 556 20
556 557 3
556 160 11
556 83 18
160 279 25
279 569 24
160 161 29
279 278 33
337 338 34
278 744 40
744 743 19
160 159 41
159 158 9
159 804 20
804 803 22
158 157 28
157 156 23
338 339 45
339 340 23
340 214 7
214 213 3
340 637 18
637 636 2
637 638 10
638 188 20
188 189 2
189 207 36
207 208 36
340 880 40
880 881 24
880 240 33
240 241 1
880 879 37
881 882 37
882 883 4
883 254 12
882 34 36
34 33 29
33 32 18
34 714 35
714 713 14
713 712 3
713 609 24
609 608 11
254 255 41
208 209 45
209 210 5
928 352 46
241 992 46
992 991 26
393 977 48
977 205 14
205 204 9
205 264 10
264 263 7
263 35 17
204 203 29
203 202 23
205 206 33
275 422 49
422 423 34
735 478 49
478 851 27
851 697 10
697 698 35
698 24 20
697 696 43
696 437 11
437 438 13
438 439 35
872 873 49
664 955 49
99 986 49
986 985 21
985 185 28
185 184 5
185 754 21
754 753 19
985 984 29
986 405 30
753 752 37
752 516 15
752 642 30
642 578 16
642 641 21
752 751 36
751 750 2
750 749 20
641 465 40
465 377 27
184 700 42
749 748 42
750 417 44
417 293 10
417 418 40
418 594 21
418 419 23
419 420 35
749 762 44
762 171 20
171 707 14
707 706 11
762 763 21
707 708 40
708 709 19
706 651 42
293 294 46
641 640 46
651 652 46
27 26 50
210 211 50
211 212 15
294 295 50
377 376 50
875 552 50
552 553 16
553 554 18
996 576 50
576 575 38
575 574 38
977 976 50
976 737 37
737 738 14
976 975 44
976 680 48
680 681 21
738 739 48
314 117 51
117 116 27
518 517 51
669 668 51
479 55 52
55 54 11
54 53 12
54 454 15
454 455 3
382 366 52
366 367 52
367 368 1
368 369 35
449 448 52
583 584 52
584 585 52
585 141 26
585 307 44
307 308 40
604 605 52
605 606 7
606 607 15
370 3 53
843 162 53
240 239 53
239 238 12
238 149 24
410 271 53
271 272 47
557 558 53
726 727 53
790 791 53
791 777 32
777 502 24
502 503 23
503 504 27
502 501 29
501 500 9
500 499 18
777 588 33
588 587 15
588 589 21
588 434 43
434 433 26
504 505 50
434 435 52
804 805 53
805 806 3
806 550 52
550 551 16
550 549 45
549 548 46
889 855 53
855 854 45
855 856 46
856 857 42
857 858 5
941 106 54
202 201 54
235 234 54
234 233 28
234 463 45
463 288 4
288 25 16
288 287 23
25 894 28
288 289 38
289 290 1
290 291 15
291 292 25
463 464 38
894 895 46
895 125 2
895 896 5
125 124 10
124 175 7
896 965 14
124 8 23
8 7 17
7 591 9
591 590 3
591 592 27
7 6 34
125 126 37
287 286 48
286 285 11
6 38 49
38 39 1
39 15 14
15 14 9
15 228 29
228 227 12
38 37 37
233 774 49
175 174 50
174 173 6
292 560 51
560 561 43
561 562 15
562 108 21
108 107 2
108 109 29
109 262 47
262 261 41
261 260 5
260 259 45
259 258 50
258 257 26
257 256 43
234 220 52
220 221 26
228 229 52
229 223 10
223 224 10
224 49 27
49 48 18
49 50 20
48 301 26
50 51 29
48 47 41
50 961 41
961 960 23
960 959 13
51 52 42
224 508 47
47 46 51
46 45 15
45 938 27
938 937 44
937 452 19
452 453 35
894 893 52
893 892 2
892 891 22
233 232 53
232 231 18
231 467 50
467 468 42
278 277 54
277 626 32
626 625 10
625 624 47
301 300 54
448 447 54
447 446 53
88 783 54
783 782 8
782 781 19
782 75 34
75 76 32
76 77 26
75 74 43
893 831 54
831 830 2
831 832 15
832 833 20
833 819 3
833 834 23
831 741 35
831 195 37
195 194 19
194 373 8
373 374 18
819 818 38
819 820 38
194 193 39
818 817 44
817 283 13
193 192 46
283 282 48
282 281 9
282 19 18
19 18 40
281 280 49
374 375 51
879 878 54
111 112 55
257 351 55
313 378 55
467 466 55
496 497 55
652 653 55
653 654 45
654 655 7
756 755 55
763 764 55
783 784 55
976 823 55
823 824 4
824 825 17
823 493 29
823 822 31
825 217 39
217 218 4
493 219 41
493 492 47
492 98 42
825 826 53
878 877 55
979 980 55
118 119 56
119 120 35
24 265 56
929 384 56
384 383 22
384 511 40
511 512 28
384 385 42
511 510 47
510 990 3
510 509 24
578 577 56
597 598 56
598 599 10
698 683 56
683 682 23
682 72 52
941 940 56
161 10 57
17 16 57
16 57 15
57 56 9
57 58 33
56 611 36
611 610 9
58 59 46
59 187 10
59 60 27
187 186 45
60 61 47
61 62 48
62 886 39
886 322 18
886 885 19
126 127 57
127 128 44
314 315 57
315 316 42
315 865 45
865 544 16
520 442 57
602 601 57
601 600 21
162 863 57
863 138 24
138 139 19
139 140 12
863 864 57
162 321 58
321 320 44
890 380 58
380 379 13
379 115 45
115 114 24
379 717 56
717 716 13
59 381 58
433 432 58
432 431 13
431 11 36
11 12 14
479 480 58
480 481 15
986 571 58
571 570 16
571 572 30
706 705 58
705 365 41
705 704 46
834 835 58
835 836 41
836 837 42
837 838 8
838 839 30
837 688 31
688 687 31
837 821 38
688 689 53
689 4 27
4 5 24
687 686 56
45 44 59
123 122 59
750 199 59
199 198 54
198 672 9
672 513 21
672 673 37
673 674 36
674 534 31
672 671 39
674 474 51
474 473 30
473 747 8
474 475 37
199 200 57
200 635 16
635 634 38
534 142 59
142 888 5
142 143 10
888 887 13
143 144 44
144 145 50
999 363 59
363 362 11
363 364 20
364 134 47
134 135 40
680 679 59
700 699 59
826 827 59
827 936 39
936 901 15
901 21 2
21 22 4
901 902 14
21 20 16
902 903 19
901 900 30
900 793 14
901 786 41
903 904 46
786 787 52
963 962 59
22 23 60
23 360 7
360 361 26
302 303 60
303 304 33
473 472 60
472 471 35
660 661 60
661 451 44
451 450 26
661 662 53
662 663 2
663 622 41
622 829 8
829 828 24
622 621 48
766 767 60
767 768 58
791 792 60
979 978 60
978 429 60
429 430 9
429 428 43
428 427 21
427 426 53
283 284 61
354 355 61
355 356 11
832 458 61
458 457 51
457 866 13
866 867 12
866 559 41
559 421 33
478 477 61
477 476 11
504 813 61
813 812 1
817 816 61
252 251 62
251 250 21
493 494 62
494 495 37
494 841 48
841 840 32
840 684 59
684 685 23
75 40 63
40 41 24
41 42 30
891 136 63
136 137 58
308 309 63
356 507 63
507 923 20
936 935 63
935 182 13
935 934 32
62 63 64
74 73 64
149 150 64
357 358 64
358 359 55
387 386 64
417 416 64
416 415 4
415 807 57
835 469 64
469 470 19
469 568 63
568 567 35
567 566 62
566 565 17
565 564 31
564 563 25
629 628 64
628 627 29
801 800 64
800 799 32
799 798 1
798 797 13
799 36 27
534 535 65
535 536 4
536 69 27
655 656 65
786 785 65
938 939 65
44 43 66
134 133 66
133 132 11
132 131 61
131 130 31
130 129 15
268 456 66
572 573 66
145 146 67
171 170 67
170 169 34
169 168 39
168 167 41
167 166 28
166 165 67
165 164 26
164 163 11
164 78 36
397 398 67
582 581 67
581 580 33
580 579 60
953 954 67
83 82 68
82 81 30
81 80 30
81 988 48
988 989 21
988 987 66
435 436 68
436 677 62
677 678 14
677 676 41
676 675 26
505 506 68
523 646 69
646 645 68
645 644 42
644 643 34
643 333 69
737 736 69
829 869 69
869 870 44
869 868 52
868 815 4
815 247 67
247 248 24
883 884 69
265 266 70
986 514 70
905 776 70
78 79 71
723 183 71
269 270 71
799 317 71
317 318 12
317 191 35
318 319 61
516 515 71
176 177 72
248 249 72
439 440 72
536 537 72
537 538 41
813 814 72
847 848 72
848 849 5
849 898 32
898 899 14
85 84 73
617 616 73
996 995 73
995 994 1
994 993 8
994 718 47
149 148 74
148 147 74
198 197 74
197 196 69
696 695 74
704 703 74
768 769 74
769 770 18
769 957 21
957 958 41
770 771 53
957 956 57
784 772 74
772 773 53
14 13 75
793 794 75
794 795 59
795 796 59
849 850 75
10 9 76
351 350 76
350 349 16
585 586 76
656 657 76
659 658 76
863 862 76
862 861 43
177 178 77
178 179 67
345 344 77
344 343 39
343 342 39
342 341 30
547 546 77
546 545 10
923 924 77
924 925 74
925 926 48
702 701 78
88 89 79
89 90 57
90 91 60
91 92 2
114 113 79
640 639 79
440 441 80
458 459 80
718 719 80
719 720 51
720 721 54
729 730 80
730 731 24
851 852 80
852 853 28
405 404 81
404 403 50
538 539 81
539 540 36
540 541 21
611 612 81
781 780 81
780 779 79
769 810 81
810 809 4
171 172 82
497 498 82
812 811 82
246 399 83
399 400 50
400 401 22
401 402 75
415 414 83
414 413 3
413 412 34
412 411 78
541 542 84
542 543 21
150 151 85
151 152 66
152 153 38
153 154 2
154 155 1
182 181 85
307 306 86
306 305 21
693 694 86
953 952 86
69 70 87
335 334 87
629 967 87
967 966 68
716 715 88
257 215 89
215 216 72
511 932 89
932 931 33
931 930 55
229 230 90
72 71 92
776 775 93
861 860 93
860 859 19
295 296 95
296 297 84
297 298 5
779 778 96
298 299 97

Total MST weight: 35633

Execution time: 2.5445 ms
