Algorithm: Prim's MST

MST edges:
0 25 30
25 24 8
25 26 23
26 42 2
24 33 27
33 12 2
33 4 3
12 11 3
11 10 4
10 79 7
79 80 4
4 3 11
10 9 13
33 69 17
10 91 18
12 23 22
23 1 7
1 41 7
41 97 1
23 94 16
94 74 1
74 75 3
41 59 21
59 98 2
1 2 23
23 83 24
83 82 12
82 96 19
82 67 21
67 68 4
96 84 24
10 47 28
41 92 30
2 93 30
98 29 31
29 65 18
65 64 9
64 63 14
74 73 32
73 72 22
72 71 11
64 62 35
62 61 28
59 95 36
95 48 17
95 37 22
59 58 37
58 5 34
5 6 19
6 7 16
7 14 20
5 99 31
7 8 34
48 49 38
49 81 17
49 50 32
5 46 39
46 45 5
45 44 16
44 15 2
44 43 7
44 39 16
39 38 17
39 40 19
43 28 20
28 27 5
44 86 20
15 16 23
83 21 40
21 20 7
58 57 40
50 51 42
43 56 42
59 76 45
76 19 27
19 18 27
18 54 27
54 55 12
76 89 31
89 90 2
90 17 11
90 31 41
31 32 2
31 34 7
31 88 37
31 30 38
76 77 43
16 78 48
86 87 49
26 60 51
37 36 52
36 35 50
10 85 52
14 13 53
95 70 55
38 52 56
24 53 64
67 66 75
21 22 78

Total MST weight: 2413

Execution time: 0.0405 ms
