Algorithm: PageRank
Damping: 0.850000
Vertex ranks:
0 0.013216
1 0.009915
2 0.002701
3 0.005896
4 0.002699
5 0.003071
6 0.005805
7 0.007195
8 0.017621
9 0.006020
10 0.015956
11 0.023176
12 0.004939
13 0.002214
14 0.002520
15 0.012136
16 0.003928
17 0.008259
18 0.009293
19 0.020679
20 0.008830
21 0.008984
22 0.011941
23 0.008161
24 0.002138
25 0.004098
26 0.017834
27 0.001500
28 0.007600
29 0.017316
30 0.003367
31 0.001500
32 0.001500
33 0.005711
34 0.002728
35 0.019822
36 0.011683
37 0.001500
38 0.017511
39 0.007396
40 0.006553
41 0.008790
42 0.009747
43 0.015268
44 0.020050
45 0.001500
46 0.005145
47 0.014899
48 0.015635
49 0.023506
50 0.010881
51 0.012843
52 0.001500
53 0.012930
54 0.001500
55 0.008855
56 0.008844
57 0.008283
58 0.019176
59 0.023324
60 0.015803
61 0.005781
62 0.010304
63 0.006462
64 0.011902
65 0.024411
66 0.005180
67 0.005779
68 0.005712
69 0.017999
70 0.007506
71 0.006913
72 0.034564
73 0.003192
74 0.015073
75 0.005641
76 0.010882
77 0.008848
78 0.001500
79 0.014668
80 0.016039
81 0.006394
82 0.025677
83 0.014153
84 0.007398
85 0.015575
86 0.013916
87 0.004469
88 0.010990
89 0.005698
90 0.026960
91 0.011790
92 0.014340
93 0.002601
94 0.003322
95 0.002728
96 0.013836
97 0.005020
98 0.010047
99 0.003338
Sum of ranks: 1.000000
Iterations: 15
Converged: true
Execution time: 1.822900 ms
