Algorithm: Bellman-Ford
Source: 0

Vertex Distance
0 0
1 40
2 76
3 -7
4 -2
5 -52
6 -95
7 -75
8 -46
9 -36
10 35
11 102
12 -67
13 85
14 45
15 87
16 32
17 145
18 -9
19 105
20 -22
21 66
22 83
23 50
24 93
25 8
26 63
27 63
28 79
29 100
30 -23
31 80
32 62
33 146
34 134
35 -36
36 80
37 72
38 81
39 -4
40 77
41 39
42 40
43 -33
44 -22
45 133
46 2
47 40
48 51
49 -9
50 95
51 21
52 -23
53 95
54 106
55 -30
56 141
57 -41
58 -18
59 16
60 -59
61 80
62 -21
63 -27
64 -13
65 -10
66 98
67 77
68 -5
69 80
70 -20
71 21
72 -47
73 -35
74 42
75 56
76 -32
77 40
78 -15
79 -14
80 88
81 116
82 -32
83 22
84 10
85 45
86 68
87 94
88 -38
89 -79
90 -23
91 -44
92 -21
93 -28
94 -1
95 -39
96 -32
97 -19
98 35
99 105
Negative cycle: none
Execution time: 0.0082 ms
